NUMERO AGENCIA,RAZON SOCIAL,ESTADO1,TELEFONO,EJECUTIVO,CIUDAD,MUNICIPIO,PROVINCIA,LONGITUD,LATITUD,CALLE,SECTOR,Com.Aplicada,Com.Faltante,Descuento_ISR
126378,COL DARIEL SANTIAGO,A,0000000000,RD.MCastillo,HIGUEY,N/A,La Altagracia,,,N/A,N/A,8.11,5.89,10
126410,COLMADO BAEZ GUERRERO,A,0000000000,RD.JMella,GAZCUE (SANTO DOMINGO),N/A,Distrito Nacional,,,N/A,N/A,8.11,5.89,10
126595,COLMADO TITO,A,0000000000,RD.WPerez,SANTO DOMINGO,N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
126672,COL PICO 2,A,0000000000,RD.NMedina,BOCA CHICA,N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
127806,CAFETERIA NAYROBY,A,0000000000,RD.JMella,GAZCUE (SANTO DOMINGO),N/A,Distrito Nacional,,,N/A,N/A,8.11,5.89,10
127897,COLMADO YUNIOR,A,0000000000,RD.ECollado.ELara,SAN CRISTOBAL,N/A,San Cristóbal,,,N/A,N/A,8.11,5.89,10
128028,BANCA BOLIVAR,A,0000000000,RD.ECollado.JBeriguete,CRISTO REY,N/A,Distrito Nacional,,,N/A,N/A,8.11,5.89,10
128102,COLMADO EL PARQUE,A,0000000000,RD.Almonte,HOLLA DEL CAIMITO,N/A,Santiago,,,N/A,N/A,8.11,5.89,10
128969,CENTRO CLARO,A,0000000000,RD.NMedina,LA CALETA,N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
129674,POWER DIGITAL,A,0000000000,RD.ASalcedo.GSalcedo,TAMBORIL,N/A,Santiago,,,N/A,N/A,8.11,5.89,10
129693,BANCA FIGUEREO 4,A,0000000000,RD.DRosarioR,LOS MAMEYES,N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
129694,BANCA FIGUEREO 5,A,0000000000,RD.DRosarioR,LOS MAMEYES,N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
129721,COLMADO Eliaz 02,A,0000000000,RD.WPerez,LOS TRES BRAZOS (SANTO DOMINGO ESTE),N/A,Distrito Nacional,,,N/A,N/A,8.11,5.89,10
130017,D'YSABEL PACA 2,A,0000000000,RD.DPaulino,INVIVIENDA,N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
